wallet,deposit_count,deposit_total,borrow_count,borrow_total,repay_count,repay_total,redeem_count,redeem_total,liquidation_count,repay_ratio,activity_days,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,2000000000.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x000000000051d07a4fb3bd10121a343d85818da6,1,1.45e+20,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x000000000096026fb41fc39f9875d164bd82e2dc,2,5000000000000000.0,0,0.0,0,0.0,0,0.0,0,1.0,7.574131944444445,550
0x0000000000e189dd664b9ab08a33c4839953852c,0,0.0,0,0.0,0,0.0,17,4.835297129866919e+18,0,1.0,129.3277662037037,600
0x0000000002032370b971dabd36d72f3e5a7bf1ee,250,9.459365814707668e+22,15,3.946000000007e+22,4,70024572850.0,130,3.946555879661164e+22,0,1.7745710301539731e-12,132.8659027777778,630
0x000000000a38444e0a6e37d3b630d7e855a7cb13,7,1.0609617267610297e+22,8,11605000000.0,5,11613645226.0,5,2.3008854394743634e+18,0,1.0007449570012925,39.28017361111111,800
0x000000003853fcedcd0355fec98ca3192833f00b,8,4.542699271260784e+16,0,0.0,0,0.0,0,0.0,0,1.0,7.889201388888889,550
0x000000003ce0cf2c037493b1dc087204bd7f713e,309,2.741882752968275e+23,30,8.63397897875013e+22,16,3.3681345309004864e+20,137,1.848882416032952e+23,0,0.003901022389781245,123.50150462962964,630
0x000000007858e6f2668e1e06111cfa24403a5466,1,9.264749382774971e+16,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1797442.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,26,8.005480506185253e+23,24,5.9794805061852535e+23,9,5.9917953540621314e+23,10,8.01754315692455e+23,0,1.0020595180240388,30.65619212962963,800
0x00000029ff545c86524ade7caf132527707948c4,12,2.703467576579266e+24,12,1.2044886209729238e+24,12,1.2046779586262698e+24,11,2.703896282758299e+24,0,1.000157193393154,2.104513888888889,700
0x00000087c4cebffb95746d1935de7fbcab092f40,86,2.000200538589319e+22,62,2.1000000001237225e+22,45,1.1798988409671993e+21,57,1.0067568570534057e+18,0,0.05618565909036595,100.5072800925926,630
0x000000e28faa823d5b53ff6c2922c28335840375,107,2.330089260931603e+24,66,2.5277735257846426e+24,63,1.7742433097249e+24,61,1.8716870029498983e+24,0,0.7018996328692697,137.20600694444445,700
0x000006eee6e39015cb523aebdd4d0b1855aba682,11,3.8762879274412105e+22,4,2.310000000000175e+22,1,2.3100038412828127e+22,9,5.0041664179407325e+22,3,1.0000016628929167,41.2944212962963,600
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1690049.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x00001bc47f0973f794f79c16121cee879e272d6a,0,0.0,0,0.0,0,0.0,4,53394118307.0,0,1.0,47.00429398148148,590
0x00002b503a75998c97508916a74fdb41934fa030,27,8.753846698080166e+20,47,5.88795000001783e+23,45,4.2674286930980197e+23,28,5.2331627536783114e+20,0,0.7247732560713146,125.32153935185185,700
0x0000897253cc85f7547317eb2080b36b3255687a,1,1.4471757177770854e+17,0,0.0,0,0.0,1,1.447195496220658e+17,0,1.0,3.5146064814814815,560
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,1109908.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x0000ce08fa224696a819877070bf378e8b131acf,3,2.500000001947075e+18,1,1.4170933200616298e+21,0,0.0,10,1.4889621234257987e+21,0,0.0,75.77993055555555,630
0x00010a708585ba4812a1c5976182626c75cb7a6b,9,1.9839016972490038e+20,6,3.000000000008307e+20,7,3.004109486320188e+20,7,2.142302981764546e+19,0,1.0013698287706234,79.51586805555556,800
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,1.2652993450826146e+16,0,0.0,0,0.0,0,0.0,0,1.0,1.6416782407407406,550
0x0002761e848b24046a53d494847b11a3e1d36b09,1,1.0080314238445638e+18,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,1010439.0,0,0.0,0,0.0,0,0.0,0,1.0,7.143796296296296,550
0x0003816b25fd3d6c112eb65c089760fa3f791947,1,5e+21,1,1.3e+18,1,1.3e+18,1,5e+21,0,1.0,0.001712962962962963,660
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,12,1.82000000022388e+19,5,915968086.0,0,0.0,20,5.174908901697235e+20,0,0.0,100.84355324074075,630
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,1,1050025562.0,0,0.0,0,0.0,1,1050025797.0,0,1.0,0.0009722222222222222,560
0x0003f46779806fe779e7f30eec95dbdb4d45840b,8,2034568202.0,6,1945000000.0,5,1396327014.0,5,1326617422.0,0,0.7179059197943445,82.84640046296296,700
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,2,999090000.0,3,507497107.0,1,512437824.0,4,1211281152.0,0,1.009735458452574,82.02820601851852,790
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,1,8.458931552812315e+17,1,500000000.0,0,0.0,0,0.0,0,0.0,0.0024189814814814816,480
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,2,2.5e+19,1,1.6e+19,1,1.6e+19,2,2.499999e+19,0,1.0,0.0043518518518518515,670
0x0005696d4be2359526c497fe4a4c0620b41f2426,1,2.9350141e+17,1,592247574.0,1,592297200.0,4,1.0286267851818746e+20,0,1.0000837926606687,0.6429861111111111,690
0x000660cad76200a2e326f53e033919905e6c50f5,1,1064772.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1,1.3e+18,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x00080000158a9930aeb508823103b0a977161c47,2,3e+18,0,0.0,0,0.0,0,0.0,0,1.0,9.988402777777777,550
0x00099b1263c22ae2ce0a52624cef2a012e751970,2,4712595639187231.0,0,0.0,0,0.0,0,0.0,0,1.0,7.811921296296297,550
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,4.1e+16,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x000a27ba176083e4b50177378cbe7469a00dd557,4,276526904.0,2,160000000.0,2,160082274.0,4,276749587.0,0,1.0005142125,33.186087962962965,790
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,18,1.9281445079779702e+22,8,4.800000001338327e+19,5,13385125834.0,12,3.271107887723154e+22,0,2.78856788130583e-10,25.913368055555555,580
0x000ab43e658935ba39504a1424b01756c1e9644c,1,1e+17,1,1e+16,0,0.0,0,0.0,0,0.0,0.0005092592592592592,480
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,49,2.2002139414592376e+20,0,0.0,0,0.0,28,1.708838020467324e+20,0,1.0,123.26833333333333,700
0x000c8e2871750f458bf1de8ab528dda09bc95db6,1,1.5e+22,1,2.356e+21,1,2.356e+21,1,1.5e+22,0,1.0,0.0006944444444444445,660
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,20,7.132457629292885e+16,20,971000000.0,17,921516338.0,14,6.632811421677889e+16,0,0.9490384531410917,66.14396990740741,800
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,4,2.00272e+20,1,40000000.0,1,40108150.0,0,0.0,0,1.00270375,30.66425925925926,750
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,1000000000000000.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,1e+17,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,1,2.8256901933637283e+17,3,879000000.0,2,501890779.0,2,502090425.0,0,0.5709792707622298,80.57099537037037,670
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,6,2.132617238514029e+18,0,0.0,0,0.0,2,1.060008174647556e+18,0,1.0,20.31818287037037,620
0x000e840a3122ec28d0c29321db172375cb049762,5,3.837084420447951e+20,2,216908607.0,2,217048025.0,1,267358748.0,0,1.0006427499670403,26.296134259259258,710
0x000e9bd1d42999446d60ff60f1fb3afb13604202,8,1.811265598809861e+19,6,35000000.0,4,35002269.0,4,1.1265599280089797e+17,0,1.0000648285714286,1.9734722222222223,690
0x000eab293e332bd6e67018a9150e8807bfac3233,1,1.2e+18,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,1,5.6e+19,0,0.0,0,0.0,1,5.609234352742851e+19,0,1.0,15.675266203703703,610
0x000f4432a40560bbff1b581a8b7aded8dab80026,7,9.284729019012137e+18,6,17600000000.0,3,17614321013.0,9,9.073875776321744e+20,0,1.0008136939204546,18.144305555555555,750
0x000f7f22bfc28d940d4b68e13213ab17cf107790,26,4.08263235352715e+25,19,3.431034019342126e+25,13,3.4316052331607702e+25,15,4.075746481819851e+25,0,1.000166484452041,2.827002314814815,700
0x000f908720f9ce164d90f4fc89459fab4442907f,32,1.5296965019179294e+21,30,7.935281590685304e+20,17,7.935551142167785e+20,17,1.529758635045204e+21,0,1.0000339687356272,1.3537152777777777,700
0x000fbfec300959d0f2f327728a889c1f5de8e2df,3,5.93233163408689e+20,1,1.4e+20,1,1.4004910116409685e+20,3,3.5e+20,0,1.0003507226006918,8.035497685185184,680
0x0011730224657eb527cf736039854c3a3f140e63,1,4.5e+21,1,7.39e+20,1,7.39e+20,1,4.5e+21,0,1.0,0.0015972222222222223,660
0x00120ea6fdbaf057eadc1bd149f957488444e92c,2,2.3675989569912272e+20,1,2608976.0,1,2608976.0,0,0.0,0,1.0,0.05458333333333333,650
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,3e+18,0,0.0,0,0.0,0,0.0,0,1.0,2.7753703703703705,550
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,101,1.1486621116412448e+22,24,4.923462755854999e+21,93,9.33385959030951e+20,11,9.110069637323651e+18,2,0.189579165176169,62.002928240740744,490
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0,0.0,0,0.0,0,0.0,1,5000954281830769.0,0,1.0,0.0,460
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,9.26e+16,0,0.0,0,0.0,0,0.0,0,1.0,0.0,550
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,2455392.0,0,0.0,0,0.0,0,0.0,0,1.0,6.0942592592592595,550
